step,split,loss
906,train,1.261708
907,train,1.228607
908,train,1.232586
909,train,1.247575
910,train,1.262153
911,train,1.210637
912,train,1.235428
913,train,1.257220
914,train,1.246077
915,train,1.223890
916,train,1.219723
917,train,1.244465
918,train,1.228064
919,train,1.224018
920,train,1.263926
921,train,1.247880
922,train,1.222681
923,train,1.245816
924,train,1.220481
925,train,1.234912
926,train,1.225452
927,train,1.210866
928,train,1.225898
929,train,1.246214
930,train,1.249177
931,train,1.205682
932,train,1.228862
933,train,1.194322
934,train,1.232603
935,train,1.241658
936,train,1.230426
937,train,1.219842
938,train,1.213374
939,train,1.233408
940,train,1.191183
941,train,1.215358
942,train,1.228632
943,train,1.186226
944,train,1.243274
945,train,1.198963
946,train,1.232443
947,train,1.207590
948,train,1.225058
949,train,1.249537
950,train,1.220090
951,train,1.205238
952,train,1.206929
953,train,1.243456
954,train,1.228796
955,train,1.219127
956,train,1.215747
957,train,1.203839
958,train,1.201505
959,train,1.198097
960,train,1.210856
961,train,1.206860
962,train,1.211330
963,train,1.232379
964,train,1.213808
965,train,1.204043
966,train,1.218578
967,train,1.181446
968,train,1.207566
969,train,1.191387
970,train,1.204956
971,train,1.225407
972,train,1.227238
973,train,1.209118
974,train,1.200835
975,train,1.208539
976,train,1.192997
977,train,1.205761
978,train,1.197869
979,train,1.194033
980,train,1.195707
981,train,1.204519
982,train,1.208069
983,train,1.226202
984,train,1.235587
985,train,1.195263
986,train,1.185622
987,train,1.198723
988,train,1.211227
989,train,1.226104
990,train,1.208820
991,train,1.214612
992,train,1.180549
993,train,1.182395
994,train,1.205029
995,train,1.197945
996,train,1.196485
997,train,1.189512
998,train,1.183998
999,train,1.217985
1000,train,1.209980
1000,val,1.201026
1001,train,1.172389
1002,train,1.198982
1003,train,1.195099
1004,train,1.220624
1005,train,1.201765
1006,train,1.197723
1007,train,1.196834
1008,train,1.198977
1009,train,1.221048
1010,train,1.199106
1011,train,1.193766
1012,train,1.168645
1013,train,1.205347
1014,train,1.208645
1015,train,1.195751
1016,train,1.197406
1017,train,1.193595
1018,train,1.190242
1019,train,1.198074
1020,train,1.185724
1021,train,1.179017
1022,train,1.184114
1023,train,1.187198
1024,train,1.163048
1025,train,1.212859
1026,train,1.180691
1027,train,1.218110
1028,train,1.186641
1029,train,1.177734
1030,train,1.211523
1031,train,1.181695
1032,train,1.221833
1033,train,1.203573
1034,train,1.174447
1035,train,1.198129
1036,train,1.184717
1037,train,1.194811
1038,train,1.183002
1039,train,1.193240
1040,train,1.198072
1041,train,1.183017
1042,train,1.196741
1043,train,1.180652
1044,train,1.180469
1045,train,1.195769
1046,train,1.184263
1047,train,1.187377
1048,train,1.171158
1049,train,1.198443
